Genre/Platform,DS,GBA,PC,PS,PS2,PS3,PSP,Wii,X360,XB
Action,0.191176471,0.222335329,0.059705882,0.400509554,0.367298851,0.319657895,0.107522523,0.28721519,0.438575851,0.221548387
Adventure,0.10407563,0.242368421,0.027076923,0.123333333,0.034234694,0.118783784,0.007981221,0.130843373,0.175833333,0.085384615
Fighting,0.069166667,0.126086957,0.016666667,0.315648148,0.299866667,0.314210526,0.116891892,0.30547619,0.378615385,0.208541667
Misc,0.137672634,0.224,0.237083333,0.273157895,0.183468468,0.18144,0.05,0.424357143,0.501259843,0.156304348
Platform,0.405604396,0.322605634,0.004545455,0.53453125,0.365048544,0.360540541,0.221944444,0.814310345,0.2436,0.134285714
Puzzle,0.146991525,0.179512195,0.0036,0.1653125,0.157777778,0.13,0.064772727,0.165454545,0.088571429,0.045714286
Racing,0.306567164,0.18328125,0.007213115,0.354689655,0.350555556,0.259673913,0.237777778,0.332795699,0.318269231,0.174634146
Role-Playing,0.2307,0.387534247,0.166826923,0.21371134,0.175668449,0.251512605,0.0596875,0.156571429,0.596666667,0.43
Shooter,0.153809524,0.05875,0.1254,0.220416667,0.3595625,0.525833333,0.277297297,0.280307692,0.859655172,0.34969697
Simulation,0.23834507,0.200555556,0.167333333,0.113166667,0.215222222,0.138709677,0.067857143,0.267816092,0.21275,0.22625
Sports,0.104594595,0.117045455,0.0076,0.288378378,0.3353,0.284626168,0.130895522,0.575846154,0.41483871,0.241294118
Strategy,0.109746835,0.233888889,0.104414894,0.093661972,0.05028169,0.078333333,0.0445,0.0928,0.232142857,0.097619048
